github.com/AlDanial/cloc v 2.02  T=2.35 s (137.3 files/s, 16757.6 lines/s)
---------------------------------------------------------------------------------------------------------------------
File                                                                            blank %      comment %           code
.\_src\umba-md-pp\md-pp-macro_helpers.h                                           36.96           4.35             27
.\_src\umba-md-pp\md_pp_tags_inner_comments.h                                     15.00          17.50             27
.\doc.drafts\plantuml\plantuml_to_fsm_tree_generator.puml                         25.00           0.00             27
.\.msvc2019\_all.vcxproj                                                          12.90           3.23             26
.\doc.drafts\plantuml\25-bnf-14.puml                                               0.00           0.00             25
.\doc.drafts\rtf-smp\ud-inc\unidoc\html\code.css                                  21.88           0.00             25
.\.msvc\umba_qt_common.props                                                      17.24           0.00             24
.\_src\umba-md-pp\_enums\PreprocessorDirective.txt                                 7.69           0.00             24
.\doc.drafts\links.txt                                                            25.00           0.00             24
.\doc\img.generated\doc.drafts\graphviz\test001.svg                                0.00          20.00             24
.\_src\umba-md-pp\rc\brand-book.txt                                               30.30           0.00             23
.\doc\img.generated\doc.drafts\graphviz\test002.svg                                0.00          20.69             23
.\.msvc\umba_3dp_jinja2cpp.props                                                  23.08          20.51             22
.\.msvc\umba_3dp_wtl.props                                                         7.69           7.69             22
.\.msvc2019\readme.txt                                                            24.14           0.00             22
.\doc.drafts\plantuml\22-bnf-11.puml                                               0.00           0.00             22
.\doc.drafts\plantuml\59-state-24.puml                                            17.86           3.57             22
.\.msvc\umba_3dp_yaml_cpp.props                                                   17.86           7.14             21
.\doc.drafts\dot.txt                                                              12.50           0.00             21
.\doc.drafts\fsm.txt                                                              30.00           0.00             21
.\doc.drafts\plantuml\13-bnf-02.puml                                              19.23           0.00             21
.\_src\umba-md-pp\tr\github-alerts.json                                            0.00           0.00             20
.\deploy.bat                                                                       4.76           0.00             20
.\doc.drafts\github.txt                                                           31.03           0.00             20
.\doc.drafts\plantuml\41-state-06.puml                                             0.00           0.00             20
.\doc.drafts\plantuml\57-state-22.puml                                            13.04           0.00             20
.\doc.drafts\plantuml\63-state-28.puml                                             9.09           0.00             20
.\.msvc\umba_3dp_gtest.props                                                      16.00           8.00             19
.\.msvc\umba_msvcver.props                                                        20.83           0.00             19
.\doc.drafts\git-add\git-add-2.bat                                                13.64           0.00             19
.\doc.drafts\plantuml\20-bnf-09.puml                                               0.00           0.00             19
.\.msvc\umba_target_windows.props                                                 18.18           0.00             18
.\_src\umba-md-pp\_enums\GraphType.txt                                             0.00           0.00             18
.\doc.drafts\plantuml\38-state-03.puml                                            18.18           0.00             18
.\doc.drafts\plantuml\40-state-05.puml                                            10.00           0.00             18
.\doc.drafts\plantuml\62-state-27.puml                                            10.00           0.00             18
.\.msvc\umba_target_console.props                                                 15.00           0.00             17
.\.msvc\umba_target_lib_static.props                                              15.00           0.00             17
.\doc.drafts\plantuml\46-state-11.puml                                            22.73           0.00             17
.\doc.drafts\rtf.txt                                                              22.73           0.00             17
.\doc\_md\_found-notes.md                                                         15.00           0.00             17
.\_src\umba-md-pp\_enums\PlantUmlTargetFormat.txt                                  0.00           0.00             16
.\_src\umba-md-pp\_enums\umba-enum-gen-options.txt                                23.81           0.00             16
.\_src\umba-md-pp\app_ver_config.h                                                20.00           0.00             16
.\_src\umba-md-pp\code-processing\_enums\umba-enum-gen-options.txt                23.81           0.00             16
.\doc.drafts\plantuml\23-bnf-12.puml                                               0.00           0.00             16
.\doc.drafts\plantuml\43-state-08.puml                                            11.11           0.00             16
.\doc.drafts\plantuml\44-state-09.puml                                            11.11           0.00             16
.\doc.drafts\plantuml\60-state-25.puml                                             5.88           0.00             16
.\doc.drafts\plantuml\56-state-21.puml                                             0.00           0.00             15
.\_src\umba-md-pp\tr\pages-index.json                                              0.00           0.00             14
.\doc.drafts\git-add\git-add.bat                                                   0.00           0.00             14
.\doc.drafts\plantuml\15-bnf-04.puml                                              12.50           0.00             14
.\doc.drafts\plantuml\39-state-04.puml                                            12.50           0.00             14
.\doc.drafts\plantuml\47-state-12.puml                                             6.67           0.00             14
.\doc.drafts\plantuml\48-state-13.puml                                             6.67           0.00             14
.\doc.drafts\plantuml\49-state-14.puml                                             6.67           0.00             14
.\.msvc\umba_target_utility.props                                                 18.75           0.00             13
.\.msvc2019\umba_prjdirs.props                                                    27.27          13.64             13
.\_src\umba-md-pp\_enums\LineHandlerEvent.txt                                      7.14           0.00             13
.\_src\umba-md-pp\_enums\PlantUmlDiagramType.txt                                   0.00           0.00             13
.\doc.drafts\boost\make_boost.bat                                                 13.33           0.00             13
